case_key,unit_composite_key,anchor_frame_index,elapsed_time_s,target_ipv_future,pred_human_ipv_point,lo_90,hi_90,support_gate_pass,gate_category_pass,gate_distance_k25_mean,gate_distance_threshold,deviation_signed_exceedance_90,deviation_abs_exceedance_90,deviation_outside_90,deviation_upper_tail_90,deviation_lower_tail_90,abstention_reasons,gate_joint_cell,time_s,ego_x,ego_y,counterpart_x,counterpart_y,distance_m,closing_rate_mps,status,observed_future_ipv
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,56,3.303,0.0638865177328888,0.06486699,-0.7670013998703791,0.8687402700142695,True,True,1.2859623,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,3.303,1.9678729210371748,-26.287850808240165,-3.3593120664094904,-3.747228162518184,23.161575273441827,3.1573922682136093,in_band,0.0638865177328888
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,57,3.393,-0.1951550626303547,0.060069554,-0.6057211850838495,0.7679518555359675,True,True,1.4233402,1.6072176694869995,0.0,0.0,False,False,False,,F|priority|AV;HV,3.393,2.01149944204774,-26.826431708100955,-3.2938020224795572,-4.52032186252552,22.928339671079385,2.33212131500308,in_band,-0.1951550626303547
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,58,3.503,0.2759534255649638,0.060365677,,,False,True,1.6378452,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,3.503,2.061145895626577,-27.457957801169073,-3.22771200133575,-5.300075300895344,22.78033745909392,1.3454086781241106,abstain,0.2759534255649638
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,59,3.602,0.389579558911678,0.0,,,False,True,1.9550627,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,3.602,2.111021284378393,-28.08824502692715,-3.22771200133575,-5.300075300895344,23.405186445709525,-6.2504794434029805,abstain,0.389579558911678
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,60,3.703,0.5128823430582532,0.08310737,,,False,True,2.2244284,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,3.703,2.149724331385193,-28.584634820524,-3.0943488781722093,-6.8731423914334755,22.33582788538748,10.582233993777828,abstain,0.5128823430582532
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,61,3.803,0.8725744248532062,0.10413359,,,False,True,1.622677,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,3.803,2.198263030164093,-29.21738522759668,-3.027284352071807,-7.664086954916911,22.177714306823713,1.5810526630784447,abstain,0.8725744248532062
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,62,3.903,1.140326410838694,0.09866663,-0.6057211850838495,0.9099332188324762,True,True,1.5944616,1.6072176694869995,0.23039319200621766,0.23039319200621766,True,True,False,,F|priority|AV;HV,3.903,2.239571243034767,-29.762133439582072,-2.96006018986391,-8.456822896073817,21.930627542168327,2.470609290385592,upper,1.140326410838694
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,63,4.003,-0.0638676637481346,0.05874843,,,False,True,1.6151896,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.003,2.285084757175963,-30.351078454507817,-2.892725710861319,-9.250750497604656,21.72633335682267,2.042767433516417,abstain,-0.0638676637481346
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,64,4.103,0.1647223824529631,0.0,-0.017163388531072236,0.13261204409168492,True,True,1.515991,1.6072176694869995,0.03211033836127819,0.03211033836127819,True,True,False,,F|priority|AV;HV,4.103,2.320283550664477,-30.8040810547611,-2.892725710861319,-9.250750497604656,22.17479478296941,-4.485810259235243,upper,0.1647223824529631
onsite:beijing:T15:B3:native_case:2335,area_id=beijing|algorithm_id=T15|team_id=T15|session_id=6924-1766198444|task_id=task_B|scenario_id=B3|case_id=B3|run_id=run:beijing:T15,65,4.203,-0.3112141638926314,0.01105066,,,False,True,2.4187307,1.6072176694869995,,,False,False,False,distance_over_threshold;distance_feature_nan_any,F|priority|AV;HV,4.203,2.3737591811351777,-31.486239750134217,-2.757870724402745,-10.84053223581222,21.273901011670215,9.004520892520466,abstain,-0.3112141638926314
