case_key,perspective,elapsed_time_s,ego_px_anchor,ego_py_anchor,counterpart_px_anchor,counterpart_py_anchor,ego_local_x_m,ego_local_y_m,counterpart_local_x_m,counterpart_local_y_m,shown,origin_x_m,origin_y_m
ipv_004992,key_agent_1,5.8,-865.4639892578125,1312.3486328125,-917.1004028320312,1385.671875,75.5740966796875,-104.62847900390648,23.93768310546875,-31.305236816406477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,5.9,-866.1015014648438,1313.327270507812,-917.1084594726562,1385.6767578125,74.93658447265625,-103.64984130859443,23.92962646484375,-31.300354003906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.0,-866.6729736328125,1314.290649414062,-917.064208984375,1385.6572265625,74.3651123046875,-102.68646240234443,23.973876953125,-31.319885253906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.1,-867.2276611328125,1315.234008789062,-917.0474243164062,1385.644165039062,73.8104248046875,-101.74310302734443,23.99066162109375,-31.332946777344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.2,-867.9108276367188,1316.274658203125,-917.1657104492188,1385.822631835938,73.12725830078125,-100.70245361328148,23.87237548828125,-31.154479980468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.3,-868.4835815429688,1317.136596679688,-917.2630004882812,1385.81884765625,72.55450439453125,-99.84051513671852,23.77508544921875,-31.158264160156477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.4,-869.0518188476562,1318.055297851562,-917.3319091796876,1385.916381835938,71.98626708984375,-98.92181396484443,23.706176757812386,-31.060729980468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.5,-869.6482543945312,1318.993041992188,-917.3760986328124,1385.96044921875,71.38983154296875,-97.98406982421852,23.661987304687614,-31.016662597656477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.6,-870.1063232421875,1319.786743164062,-917.2606811523438,1385.809448242188,70.9317626953125,-97.19036865234443,23.77740478515625,-31.167663574218523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.7,-870.7727661132812,1320.798828125,-917.3363037109376,1385.87353515625,70.26531982421875,-96.17828369140648,23.701782226562386,-31.103576660156477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.8,-871.4315795898438,1321.933837890625,-917.3806762695312,1385.924560546875,69.60650634765625,-95.04327392578148,23.65740966796875,-31.052551269531477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,6.9,-871.9992065429688,1322.897583007812,-917.2816162109376,1385.785766601562,69.03887939453125,-94.07952880859443,23.756469726562386,-31.191345214844432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.0,-872.5636596679688,1323.841918945312,-917.3528442382812,1385.853393554688,68.47442626953125,-93.13519287109443,23.68524169921875,-31.123718261718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.1,-873.1099243164062,1324.78173828125,-917.2694091796876,1385.728759765625,67.92816162109375,-92.19537353515648,23.768676757812386,-31.248352050781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.2,-873.6553344726562,1325.690673828125,-917.3626708984376,1385.876586914062,67.38275146484375,-91.28643798828148,23.675415039062386,-31.100524902344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.3,-874.1932983398438,1326.651123046875,-917.2727661132812,1385.738159179688,66.84478759765625,-90.32598876953148,23.76531982421875,-31.238952636718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.4,-874.714111328125,1327.55908203125,-917.2347412109376,1385.661254882812,66.323974609375,-89.41802978515648,23.803344726562386,-31.315856933594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.5,-875.2033081054688,1328.425048828125,-917.3365478515624,1385.806518554688,65.83477783203125,-88.55206298828148,23.701538085937614,-31.170593261718523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.6,-875.7188720703125,1329.338500976562,-917.4341430664062,1385.877075195312,65.3192138671875,-87.63861083984443,23.60394287109375,-31.100036621094432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.7,-876.2982788085938,1330.267822265625,-917.4619750976562,1385.9482421875,64.73980712890625,-86.70928955078148,23.57611083984375,-31.028869628906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.8,-876.8259887695312,1331.216796875,-917.3698120117188,1385.814819335938,64.21209716796875,-85.76031494140648,23.66827392578125,-31.162292480468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,7.9,-877.3524780273438,1332.128662109375,-917.4331665039062,1385.903930664062,63.68560791015625,-84.84844970703148,23.60491943359375,-31.073181152344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.0,-877.709228515625,1332.760620117188,-917.4435424804688,1385.947021484375,63.328857421875,-84.21649169921852,23.59454345703125,-31.030090332031477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.1,-878.277587890625,1333.714965820312,-917.4567260742188,1385.9619140625,62.760498046875,-83.26214599609443,23.58135986328125,-31.015197753906477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.2,-878.685302734375,1334.427124023438,-917.263427734375,1385.722045898438,62.352783203125,-82.54998779296852,23.774658203125,-31.255065917968523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.3,-879.1875610351562,1335.194702148438,-917.1534423828124,1385.553100585938,61.85052490234375,-81.78240966796852,23.884643554687614,-31.424011230468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.4,-879.685302734375,1336.013916015625,-917.1417236328124,1385.536254882812,61.352783203125,-80.96319580078148,23.896362304687614,-31.440856933594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.5,-880.1754760742188,1336.802856445312,-916.98779296875,1385.303955078125,60.86260986328125,-80.17425537109443,24.05029296875,-31.673156738281477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.6,-880.7158203125,1337.674438476562,-916.9758911132812,1385.295166015625,60.322265625,-79.30267333984443,24.06219482421875,-31.681945800781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.7,-881.2387084960938,1338.519287109375,-916.9597778320312,1385.333129882812,59.79937744140625,-78.45782470703148,24.07830810546875,-31.643981933594432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.8,-881.86279296875,1339.51171875,-916.999267578125,1385.392578125,59.17529296875,-77.46539306640648,24.038818359375,-31.584533691406477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,8.9,-882.4865112304688,1340.485961914062,-916.9613037109376,1385.362060546875,58.55157470703125,-76.49114990234443,24.076782226562386,-31.615051269531477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.0,-883.0645141601562,1341.390869140625,-916.9385375976562,1385.351928710938,57.97357177734375,-75.58624267578148,24.09954833984375,-31.625183105468523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.1,-883.6399536132812,1342.2578125,-916.935546875,1385.334228515625,57.39813232421875,-74.71929931640648,24.1025390625,-31.642883300781477,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.2,-884.2139282226562,1343.111572265625,-916.9215698242188,1385.358276367188,56.82415771484375,-73.86553955078148,24.11651611328125,-31.618835449218523,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.3,-884.7725219726562,1343.940673828125,-916.9397583007812,1385.409790039062,56.26556396484375,-73.03643798828148,24.09832763671875,-31.567321777344432,False,-941.0380859375,1416.9771118164065
ipv_004992,key_agent_1,9.4,-885.338134765625,1344.762817382812,-916.8540649414062,1385.2890625,55.699951171875,-72.21429443359443,24.18402099609375,-31.688049316406477,False,-941.0380859375,1416.9771118164065
