trial_id,subject_id,seat,segment_id,class,scenario_id,pair_id,mean_pre,count_pre,mean_post,count_post,delta_dial_z
P03B_T05,H0026,ego,S692,W,A2,P03,0.2877113757,20,0.7427497405,20,0.4550383647
P03B_T06,H0025,cp,S163,A,B2,P03,0.330144886,20,1.47355079,20,1.143405904
P03B_T06,H0026,ego,S163,A,B2,P03,0.5659020835,20,1.23563071,20,0.669728627
P03B_T07,H0025,cp,S857,C,A3,P03,0.3487274719,20,1.034208873,20,0.6854814008
P03B_T07,H0026,ego,S857,C,A3,P03,0.4631262392,20,0.9820503384,20,0.5189240992
P03B_T08,H0025,cp,S250,W,C4,P03,0.5478949895,20,-0.007459214476,20,-0.555354204
P03B_T08,H0026,ego,S250,W,C4,P03,0.2816671544,20,0.3638420767,20,0.08217492232
P03B_T09,H0025,cp,S102,A,B3,P03,0.6033972706,20,1.40297624,20,0.7995789692
P03B_T09,H0026,ego,S102,A,B3,P03,0.2798370315,20,0.6317022227,20,0.3518651912
P03B_T10,H0025,cp,S502,C,A5,P03,0.3493534375,20,0.38914521,20,0.03979177248
P03B_T10,H0026,ego,S502,C,A5,P03,0.1219648584,20,0.3383528004,20,0.216387942
P03B_T11,H0025,cp,S784,W,C4,P03,-0.03923617282,20,0.1869460552,20,0.226182228
P03B_T11,H0026,ego,S784,W,C4,P03,0.3241211875,20,0.3457575736,20,0.02163638614
P03B_T12,H0025,cp,S888,C,A5,P03,0.3281074295,20,1.238420936,20,0.910313507
P03B_T12,H0026,ego,S888,C,A5,P03,0.3114186903,20,0.7765227305,20,0.4651040402
P03B_T13,H0025,cp,S128,C,A3,P03,0.3193561852,20,1.047133221,20,0.7277770355
P03B_T13,H0026,ego,S128,C,A3,P03,0.1980473982,20,1.326871965,20,1.128824567
P03B_T14,H0025,cp,S481,W,A1,P03,0.07802804503,20,0.5450229122,20,0.4669948672
P03B_T14,H0026,ego,S481,W,A1,P03,0.1297428804,20,0.4428744855,20,0.3131316051
P03B_T15,H0025,cp,S613,C,A4,P03,0.393453326,20,1.528979428,20,1.135526102
P03B_T15,H0026,ego,S613,C,A4,P03,0.6786713615,20,1.295964562,20,0.6172932003
P03B_T16,H0025,cp,S473,A,B3,P03,0.3292979914,20,0.8827006557,20,0.5534026643
P03B_T16,H0026,ego,S473,A,B3,P03,0.2531918882,20,1.046465845,20,0.7932739571
P03B_T17,H0025,cp,S766,W,A1,P03,0.08428770079,20,0.1468228892,20,0.0625351884
P03B_T17,H0026,ego,S766,W,A1,P03,0.4157838517,20,0.07168464223,20,-0.3440992095
P04A_T03,H0027,ego,S775,A,A7,P04,0.4735840212,20,0.4963544231,20,0.02277040192
P04A_T03,H0028,cp,S775,A,A7,P04,0.4407345793,20,1.059773498,20,0.6190389189
P04A_T04,H0027,ego,S751,C,A2,P04,0.4285086501,20,1.775387471,20,1.346878821
P04A_T04,H0028,cp,S751,C,A2,P04,0.234722921,20,1.801544547,20,1.566821626
P04A_T05,H0027,ego,S756,W,B4,P04,0.2601532728,20,0.6349817757,20,0.3748285029
P04A_T05,H0028,cp,S756,W,B4,P04,0.4364080596,20,0.5208827595,20,0.08447469986
P04A_T06,H0027,ego,S506,A,A7,P04,0.4172189225,20,0.5188026024,20,0.1015836798
P04A_T06,H0028,cp,S506,A,A7,P04,0.3294163345,20,0.9307906232,20,0.6013742887
P04A_T07,H0027,ego,S454,A,B1,P04,0.4668650819,20,2.248267138,20,1.781402057
P04A_T07,H0028,cp,S454,A,B1,P04,0.5412126215,20,2.389090705,20,1.847878083
P04A_T08,H0027,ego,S844,W,B4,P04,0.01469120435,20,0.5605602734,20,0.5458690691
P04A_T08,H0028,cp,S844,W,B4,P04,0.5396828023,20,0.5431727022,20,0.003489899881
P04A_T09,H0027,ego,S316,A,B1,P04,0.6196582977,20,2.065077584,20,1.445419287
P04A_T09,H0028,cp,S316,A,B1,P04,0.3992023804,20,2.25172968,20,1.852527299
P04A_T10,H0027,ego,S494,C,C4,P04,0.4983593642,20,0.8472907118,20,0.3489313476
P04A_T10,H0028,cp,S494,C,C4,P04,0.07330309976,20,0.5330496022,20,0.4597465025
P04A_T11,H0027,ego,S830,W,B3,P04,0.198322323,20,1.055553963,20,0.8572316404
P04A_T11,H0028,cp,S830,W,B3,P04,0.367147889,20,1.017189549,20,0.6500416597
P04A_T12,H0027,ego,S725,C,A1,P04,0.2478730089,20,-0.01164751527,20,-0.2595205242
P04A_T12,H0028,cp,S725,C,A1,P04,0.1370535311,20,0.06891682148,20,-0.06813670966
P04A_T13,H0027,ego,S447,C,C4,P04,0.4202502025,20,0.6534797437,20,0.2332295412
P04A_T13,H0028,cp,S447,C,C4,P04,0.3568813685,20,0.88769275,20,0.5308113815
P04A_T14,H0027,ego,S281,W,B3,P04,0.2612512167,20,0.6419513327,20,0.3807001159
P04A_T14,H0028,cp,S281,W,B3,P04,0.5890792277,20,0.7150144162,20,0.1259351885
P04A_T15,H0027,ego,S848,C,A1,P04,0.1523518889,20,0.5692125488,20,0.4168606599
P04A_T15,H0028,cp,S848,C,A1,P04,0.3264881651,20,0.4074371099,20,0.08094894484
