area,area_rank,team_code,official_name,session_id,file_role,bytes,source_relative_path,subset_relative_path,storage_mode
shanghai,4,T7,SMU,,diagnosis_pdf,4773747,上海赛区/上海海事大学_SMU智驾出航/上海海事大学_SMU智驾出航.pdf,teams/shanghai/04_T7_SMU/support_materials/上海海事大学_SMU智驾出航.pdf,hardlink
shanghai,4,T7,SMU,6938-1766210823,replay_log,588459,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/monitor.log,teams/shanghai/04_T7_SMU/sessions/6938-1766210823/monitor.log,hardlink
shanghai,4,T7,SMU,6938-1766210823,replay_log,76228444,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/simulation_trajectory.log,teams/shanghai/04_T7_SMU/sessions/6938-1766210823/simulation_trajectory.log,hardlink
shanghai,4,T7,SMU,6938-1766210823,replay_log,71852049,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_perception_simulation_trajectory.log,teams/shanghai/04_T7_SMU/sessions/6938-1766210823/vehicle_perception_simulation_trajectory.log,hardlink
shanghai,4,T7,SMU,6938-1766210823,replay_log,71620714,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_perception_trajectory.log,teams/shanghai/04_T7_SMU/sessions/6938-1766210823/vehicle_perception_trajectory.log,hardlink
shanghai,4,T7,SMU,6938-1766210823,replay_log,5277403,上海赛区/上海海事大学_SMU智驾出航/6938-1766210823/vehicle_trajectory.log,teams/shanghai/04_T7_SMU/sessions/6938-1766210823/vehicle_trajectory.log,hardlink
shanghai,5,T8,ADVRC,,diagnosis_pdf,4607550,上海赛区/上海交大_SJTU_ADVRC/上海交通大学_上海交通大学.pdf,teams/shanghai/05_T8_ADVRC/support_materials/上海交通大学_上海交通大学.pdf,hardlink
shanghai,5,T8,ADVRC,6932-1766206403,replay_log,608785,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/monitor.log,teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403/monitor.log,hardlink
shanghai,5,T8,ADVRC,6932-1766206403,replay_log,79501781,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/simulation_trajectory.log,teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403/simulation_trajectory.log,hardlink
shanghai,5,T8,ADVRC,6932-1766206403,replay_log,59795497,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/vehicle_perception_simulation_trajectory.log,teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403/vehicle_perception_simulation_trajectory.log,hardlink
shanghai,5,T8,ADVRC,6932-1766206403,replay_log,5317547,上海赛区/上海交大_SJTU_ADVRC/6932-1766206403/vehicle_trajectory.log,teams/shanghai/05_T8_ADVRC/sessions/6932-1766206403/vehicle_trajectory.log,hardlink
