area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,,video,.mp4,711763539,上海赛区/武汉理工大学_WUT_FSD/WUT_FSD_20251220_102945.mp4,2025-12-24T10:11:21
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,,diagnosis_pdf,.pdf,4233514,上海赛区/武汉理工大学_WUT_FSD/武汉理工大学_WUT_FSD.pdf,2025-12-24T10:16:09
shanghai,上海赛区,武汉理工大学_WUT_FSD,T11,,replay_zip,.zip,7862315,上海赛区/武汉理工大学_WUT_FSD/武汉理工大学_WUT_FSD_6923-1766197775.zip,2025-12-24T10:15:26
shanghai,上海赛区,江苏大学_测试无极限,T5,,hidden_metadata,,6148,上海赛区/江苏大学_测试无极限/.DS_Store,2026-06-18T15:45:24
shanghai,上海赛区,江苏大学_测试无极限,T5,6925-1766198568,replay_log,.log,613697,上海赛区/江苏大学_测试无极限/6925-1766198568/monitor.log,2025-12-20T10:56:05
shanghai,上海赛区,江苏大学_测试无极限,T5,6925-1766198568,replay_log,.log,86487098,上海赛区/江苏大学_测试无极限/6925-1766198568/simulation_trajectory.log,2025-12-20T10:56:08
shanghai,上海赛区,江苏大学_测试无极限,T5,6925-1766198568,replay_log,.log,71449037,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_perception_simulation_trajectory.log,2025-12-20T10:56:09
shanghai,上海赛区,江苏大学_测试无极限,T5,6925-1766198568,replay_log,.log,71820895,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_perception_trajectory.log,2025-12-20T10:56:11
shanghai,上海赛区,江苏大学_测试无极限,T5,6925-1766198568,replay_log,.log,5529491,上海赛区/江苏大学_测试无极限/6925-1766198568/vehicle_trajectory.log,2025-12-20T10:56:06
shanghai,上海赛区,江苏大学_测试无极限,T5,,diagnosis_pdf,.pdf,4167402,上海赛区/江苏大学_测试无极限/江苏大学_测试无极限.pdf,2025-12-24T10:16:09
shanghai,上海赛区,江苏大学_测试无极限,T5,,replay_zip,.zip,25749810,上海赛区/江苏大学_测试无极限/江苏大学_测试无极限_6925-1766198568.zip,2025-12-24T10:15:29
shanghai,上海赛区,江苏大学_测试无极限,T5,,video,.mp4,1001529360,上海赛区/江苏大学_测试无极限/测试无极限_20251220_104257.mp4,2025-12-24T10:14:37
